# Time     Error        Bytes 1-13
#
1358287596.810004,0,3d,60,ff,fd,02,01,94,60,00,00,00,00,00
1358287596.857506,0,7a,20,d9,ff,08,01,35,80,00,00,a9,00,00
1358287596.905574,0,38,e0,ff,fd,07,06,a0,79,5f,00,00,3f,ff
1358287596.953532,0,70,80,d9,ff,08,08,00,0c,d7,96,95,e2,02
1358287597.001827,0,40,40,ff,fd,08,00,00,00,00,00,00,00,00
1358287597.049545,0,56,00,d9,ff,08,60,df,0b,11,00,00,00,00
1358287597.097510,0,3c,20,ff,fd,04,00,ff,11,00,00,00,00,00
1358287597.145580,0,5f,20,d9,ff,05,a8,00,00,00,00,00,3f,00
1358287597.193496,0,40,00,ff,fd,04,00,00,00,00,f9,fa,c3,00
1358287597.241511,0,50,80,d9,ff,07,00,9c,bd,10,04,00,b3,de
1358287597.289507,0,56,00,ff,fd,08,60,67,0b,1b,00,00,00,00
1358287597.337538,0,79,20,d9,ff,08,07,66,00,00,00,00,00,00
1358287597.386639,0,40,40,ff,fd,08,00,00,00,00,00,00,00,00
1358287597.433469,0,3e,20,d9,ff,08,ae,0e,00,00,08,00,00,7a
1358287597.481530,0,a3,00,ff,fd,07,00,f3,00,f3,78,00,00,ff
1358287597.529581,0,3e,20,d9,ff,08,ae,0e,00,00,08,00,00,7a
1358287597.577531,0,31,e0,ff,fd,06,c0,a7,11,4a,5f,00,c5,00
1358287597.625512,0,38,e0,d9,ff,07,06,a0,79,5f,00,00,3f,00
1358287597.673564,0,1e,20,ff,fd,04,16,ff,00,80,00,00,00,ad
1358287597.721672,0,90,80,d9,ff,06,01,10,01,11,01,10,72,00
1358287597.769604,0,56,00,ff,fd,08,5f,3e,0a,ef,00,00,00,00
1358287597.817431,0,1f,20,d9,ff,08,00,00,40,00,00,00,00,ff
1358287597.866686,0,32,20,ff,fd,08,06,e7,06,e7,06,eb,00,00
1358287597.913411,0,1e,20,d9,ff,04,16,ff,00,80,00,00,00,00
1358287597.961504,0,18,a0,ff,fd,08,10,00,00,00,10,00,00,00
1358287598.009507,0,3e,a0,d9,ff,07,0f,01,00,01,00,00,00,ff
1358287598.057395,0,7a,20,ff,fd,08,01,35,80,00,00,a1,00,00
1358287598.104591,0,33,20,d9,ff,08,8f,ff,0f,ff,ef,ff,00,ff
1358287598.152478,0,40,00,ff,fd,04,00,00,00,00,00,fa,c4,00
1358287598.200439,0,50,80,d9,ff,07,00,9e,38,10,00,00,9b,00
1358287598.248486,0,5f,20,ff,fd,05,5b,00,00,00,00,00,3f,00
1358287598.296767,0,3e,60,d9,ff,02,80,80,11,00,00,00,00,00
1358287598.344504,0,38,e0,ff,fd,07,06,a0,79,5f,00,00,3f,00
1358287598.392612,0,33,e0,d9,ff,07,01,f4,02,ff,ff,00,12,ff
1358287598.440908,0,50,80,ff,fd,07,00,9d,a0,0f,fd,00,fa,73
1358287598.488476,0,40,00,d9,ff,04,00,00,00,00,f9,fa,c3,00
1358287598.536496,0,3c,20,ff,fd,04,00,ff,11,00,00,00,00,00
1358287598.584855,0,69,00,d9,ff,04,00,03,00,03,00,00,3f,00
1358287598.632498,0,27,00,ff,fd,05,00,00,00,00,0b,00,00,ff
1358287598.680453,0,50,80,d9,ff,07,00,9e,6c,0f,fc,01,5b,ff
1358287598.728472,0,70,80,ff,fd,08,08,00,0c,d7,96,95,e2,02
1358287598.776529,0,3d,60,d9,ff,02,01,90,00,0c,0f,ff,00,00
1358287598.824388,0,2f,e0,ff,fd,08,00,00,00,00,00,00,00,00
1358287598.872455,0,92,20,d9,ff,08,80,33,17,08,00,00,00,ad
1358287598.920460,0,50,80,ff,fd,07,00,9b,f4,0f,f0,00,20,ff
1358287598.968463,0,33,e0,d9,ff,07,01,f4,02,ff,ff,00,12,ff
1358287599.016813,0,66,80,ff,fd,02,00,00,03,24,03,48,5f,f4
1358287599.064544,0,18,20,d9,ff,08,30,00,00,00,30,00,00,00
1358287599.112413,0,56,00,ff,fd,08,60,48,0b,29,00,00,00,00
1358287599.160485,0,50,80,d9,ff,07,00,9c,45,0f,f9,00,83,7d
1358287599.208456,0,69,40,ff,fd,04,00,03,00,03,b1,8c,00,00
1358287599.256470,0,56,80,d9,ff,06,30,05,81,98,ac,8c,00,00
1358287599.304448,0,1e,20,ff,fd,04,0a,ff,00,80,30,00,00,00
1358287599.352475,0,38,60,d9,ff,05,06,de,06,db,00,de,00,00
1358287599.400464,0,50,80,ff,fd,07,00,9d,cd,0f,fc,00,e0,00
1358287599.448488,0,40,40,d9,ff,08,00,00,00,00,00,00,00,00
1358287599.496841,0,3e,60,ff,fd,02,80,80,11,00,00,00,00,00
1358287599.544437,0,5f,20,d9,ff,05,28,00,00,00,00,00,3f,00
1358287599.592439,0,33,e0,ff,fd,07,01,f4,02,ff,ff,00,12,ff
1358287599.640508,0,3d,a0,d9,ff,08,41,90,03,17,03,40,61,31
1358287599.688440,0,69,00,ff,fd,04,00,03,00,03,00,00,3f,00
1358287599.736517,0,3c,20,d9,ff,04,00,ff,11,00,0f,ff,00,00
1358287599.784327,0,38,e0,ff,fd,07,06,a0,79,5f,00,00,3f,00
1358287599.832547,0,56,80,d9,ff,06,30,05,81,99,ae,8d,00,00
1358287599.880513,0,33,20,ff,fd,08,0f,ff,0f,ff,f0,01,00,ff
1358287599.928444,0,70,80,d9,ff,08,08,00,0c,d7,96,95,e2,02
1358287599.976324,0,66,80,ff,fd,02,00,00,00,0c,00,00,00,00
1358287600.024459,0,18,a0,d9,ff,08,30,00,00,00,30,00,00,00
1358287600.072656,0,92,20,ff,fd,08,80,33,17,08,00,00,00,ad
1358287600.120705,0,50,80,d9,ff,07,00,9e,0e,0f,fe,00,6b,ff
1358287600.168637,0,33,e0,ff,fd,07,01,f4,02,ff,ff,00,12,ff
