# Time     Error        Bytes 1-13
#
1358304957.884199,0,background,1f,20,ff,fd,08,00,00,40,00,00,00,00,ff
1358304957.932363,0,background,3c,a0,d9,7f,08,46,f9,6b,80,00,06,95,00
1358304957.979854,0,background,25,40,ff,fd,08,53,00,00,00,b2,72,1f,ff
1358304958.027996,0,background,1e,20,d9,7f,04,1c,bf,00,00,00,ff,00,00
1358304958.075838,0,background,66,80,ff,fd,02,00,00,0f,ff,f0,00,00,ff
1358304958.123810,0,background,18,20,d9,7f,08,20,0a,a1,3b,20,0b,96,63
1358304958.171874,0,background,3d,a0,ff,fd,08,41,2c,01,0e,01,10,75,9a
1358304958.219835,0,background,1e,20,d9,7f,04,00,bf,00,00,00,00,00,00
1358304958.267829,0,background,56,00,ff,fd,08,5a,b2,06,e2,00,00,00,00
1358304958.315989,0,background,3c,a0,d9,7f,08,46,f9,6b,c0,00,06,93,00
1358304958.363813,0,background,33,e0,ff,fd,07,01,f4,02,ff,ff,00,12,ff
1358304958.412899,0,background,92,20,d9,7f,08,c0,33,6d,0c,00,00,00,b3
1358304958.459816,0,background,56,80,ff,fd,06,30,09,81,99,b3,92,75,9a
1358304958.507843,0,background,56,00,d9,7f,08,5d,ea,06,f4,00,00,00,00
1358304958.555719,0,background,69,40,ff,fd,04,00,03,00,03,00,00,3f,b3
1358304958.603839,0,background,50,80,d9,7f,07,00,9b,87,10,11,00,9b,ff
1358304958.652099,0,background,3e,60,ff,fd,02,c0,c0,02,ff,ff,00,12,ff
1358304958.699842,0,background,1e,20,d9,7f,04,00,bf,00,00,01,10,75,9a
1358304958.747721,0,background,3d,a0,ff,fd,08,41,2c,01,18,01,10,75,9a
1358304958.795858,0,background,66,80,d9,7f,02,00,00,00,00,00,00,3f,b3
1358304958.843789,0,background,50,80,ff,fd,07,00,9d,0a,10,18,00,fb,00
1358304958.891804,0,background,7f,60,d9,7f,02,02,00,c5,00,50,00,36,18
1358304958.940125,0,background,9b,20,ff,fd,03,00,00,00,01,00,00,00,ff
1358304958.987802,0,background,70,80,d9,7f,08,08,00,0c,d7,96,92,e2,02
1358304959.035807,0,background,3d,a0,ff,fd,08,41,2c,01,19,01,10,75,9a
1358304959.083829,0,background,19,20,d9,7f,07,84,0b,c3,00,00,40,00,7a
1358304959.132137,0,background,1e,20,ff,fd,04,34,bf,00,00,01,13,00,00
1358304959.179901,0,background,1e,20,d9,7f,04,00,bf,00,00,f9,06,92,00
1358304959.227815,0,background,1e,20,ff,fd,04,1c,bf,00,00,01,12,00,00
1358304959.275824,0,background,66,80,d9,7f,02,00,00,02,ff,ff,00,12,ff
1358304959.323755,0,background,50,80,ff,fd,07,00,9d,72,10,1b,00,20,9a
1358304959.372183,0,background,3d,a0,d9,7f,08,41,2c,01,0f,01,10,75,9a
1358304959.419844,0,background,1e,20,ff,fd,04,00,bf,00,00,00,06,92,00
1358304959.468271,0,background,56,00,d9,7f,08,5c,e3,07,0d,00,00,00,00
1358304959.515830,0,background,66,80,ff,fd,02,00,00,39,60,00,00,3f,b3
